timestamp,vehicle,station,operation,details
2024-05-21,1,1294,add,4
2024-05-21,1,1294,warning,快要沒車
2024-05-21,1,1314,add,4
2024-05-21,1,1314,warning,快要沒車
2024-05-21,1,1243,add,1
2024-05-21,1,1725,add,4
2024-05-21,1,1725,warning,快要沒車
2024-05-21,1,1071,add,2
2024-05-21,1,1336,add,4
2024-05-21,1,1336,warning,快要沒車
2024-05-21,1,1665,add,4
2024-05-21,1,1665,warning,快要沒車
2024-05-21,1,1178,add,4
2024-05-21,1,1178,warning,快要沒車
2024-05-21,1,1383,add,4
2024-05-21,1,1383,warning,快要沒車
2024-05-21,1,1335,add,4
2024-05-21,1,1335,warning,快要沒車
2024-05-21,1,1022,add,4
2024-05-21,1,1022,warning,快要沒車
2024-05-21,1,1696,add,4
2024-05-21,1,1696,warning,快要沒車
2024-05-21,1,1009,add,4
2024-05-21,1,1009,warning,快要沒車
2024-05-21,1,1290,add,2
2024-05-21,1,1085,add,1
2024-05-21,1,1085,warning,快要沒車
2024-05-21,2,1294,add,4
2024-05-21,2,1294,warning,快要沒車
2024-05-21,2,1314,add,4
2024-05-21,2,1314,warning,快要沒車
2024-05-21,2,1243,add,1
2024-05-21,2,1725,add,4
2024-05-21,2,1725,warning,快要沒車
2024-05-21,2,1071,add,2
2024-05-21,2,1336,add,4
2024-05-21,2,1336,warning,快要沒車
2024-05-21,2,1665,add,4
2024-05-21,2,1665,warning,快要沒車
2024-05-21,2,1178,add,4
2024-05-21,2,1178,warning,快要沒車
2024-05-21,2,1383,add,4
2024-05-21,2,1383,warning,快要沒車
2024-05-21,2,1335,add,4
2024-05-21,2,1335,warning,快要沒車
2024-05-21,2,1022,add,4
2024-05-21,2,1022,warning,快要沒車
2024-05-21,2,1696,add,4
2024-05-21,2,1696,warning,快要沒車
2024-05-21,2,1009,add,4
2024-05-21,2,1009,warning,快要沒車
2024-05-21,2,1290,add,2
2024-05-21,2,1085,add,1
2024-05-21,2,1085,warning,快要沒車
2024-05-21,3,1294,add,4
2024-05-21,3,1294,warning,快要沒車
2024-05-21,3,1314,add,4
2024-05-21,3,1314,warning,快要沒車
2024-05-21,3,1243,add,1
2024-05-21,3,1725,add,4
2024-05-21,3,1725,warning,快要沒車
2024-05-21,3,1071,add,2
2024-05-21,3,1336,add,4
2024-05-21,3,1336,warning,快要沒車
2024-05-21,3,1665,add,4
2024-05-21,3,1665,warning,快要沒車
2024-05-21,3,1178,add,4
2024-05-21,3,1178,warning,快要沒車
2024-05-21,3,1383,add,4
2024-05-21,3,1383,warning,快要沒車
2024-05-21,3,1335,add,4
2024-05-21,3,1335,warning,快要沒車
2024-05-21,3,1022,add,4
2024-05-21,3,1022,warning,快要沒車
2024-05-21,3,1696,add,4
2024-05-21,3,1696,warning,快要沒車
2024-05-21,3,1009,add,4
2024-05-21,3,1009,warning,快要沒車
2024-05-21,3,1290,add,2
2024-05-21,3,1085,add,1
2024-05-21,3,1085,warning,快要沒車
2024-05-21,4,1294,add,4
2024-05-21,4,1294,warning,快要沒車
2024-05-21,4,1314,add,4
2024-05-21,4,1314,warning,快要沒車
2024-05-21,4,1243,add,1
2024-05-21,4,1725,add,4
2024-05-21,4,1725,warning,快要沒車
2024-05-21,4,1071,add,2
2024-05-21,4,1336,add,4
2024-05-21,4,1336,warning,快要沒車
2024-05-21,4,1665,add,4
2024-05-21,4,1665,warning,快要沒車
2024-05-21,4,1178,add,4
2024-05-21,4,1178,warning,快要沒車
2024-05-21,4,1383,add,4
2024-05-21,4,1383,warning,快要沒車
2024-05-21,4,1335,add,4
2024-05-21,4,1335,warning,快要沒車
2024-05-21,4,1022,add,4
2024-05-21,4,1022,warning,快要沒車
2024-05-21,4,1696,add,4
2024-05-21,4,1696,warning,快要沒車
2024-05-21,4,1009,add,4
2024-05-21,4,1009,warning,快要沒車
2024-05-21,4,1290,add,2
2024-05-21,4,1085,add,1
2024-05-21,4,1085,warning,快要沒車
2024-05-21,5,1294,add,4
2024-05-21,5,1294,warning,快要沒車
2024-05-21,5,1314,add,4
2024-05-21,5,1314,warning,快要沒車
2024-05-21,5,1243,add,1
2024-05-21,5,1725,add,4
2024-05-21,5,1725,warning,快要沒車
2024-05-21,5,1071,add,2
2024-05-21,5,1336,add,4
2024-05-21,5,1336,warning,快要沒車
2024-05-21,5,1665,add,4
2024-05-21,5,1665,warning,快要沒車
2024-05-21,5,1178,add,4
2024-05-21,5,1178,warning,快要沒車
2024-05-21,5,1383,add,4
2024-05-21,5,1383,warning,快要沒車
2024-05-21,5,1335,add,4
2024-05-21,5,1335,warning,快要沒車
2024-05-21,5,1022,add,4
2024-05-21,5,1022,warning,快要沒車
2024-05-21,5,1696,add,4
2024-05-21,5,1696,warning,快要沒車
2024-05-21,5,1009,add,4
2024-05-21,5,1009,warning,快要沒車
2024-05-21,5,1290,add,2
2024-05-21,5,1085,add,1
2024-05-21,5,1085,warning,快要沒車
2024-05-21,6,1294,add,4
2024-05-21,6,1294,warning,快要沒車
2024-05-21,6,1314,add,4
2024-05-21,6,1314,warning,快要沒車
2024-05-21,6,1243,add,1
2024-05-21,6,1725,add,4
2024-05-21,6,1725,warning,快要沒車
2024-05-21,6,1071,add,2
2024-05-21,6,1336,add,4
2024-05-21,6,1336,warning,快要沒車
2024-05-21,6,1665,add,4
2024-05-21,6,1665,warning,快要沒車
2024-05-21,6,1178,add,4
2024-05-21,6,1178,warning,快要沒車
2024-05-21,6,1383,add,4
2024-05-21,6,1383,warning,快要沒車
2024-05-21,6,1335,add,4
2024-05-21,6,1335,warning,快要沒車
2024-05-21,6,1022,add,4
2024-05-21,6,1022,warning,快要沒車
2024-05-21,6,1696,add,4
2024-05-21,6,1696,warning,快要沒車
2024-05-21,6,1009,add,4
2024-05-21,6,1009,warning,快要沒車
2024-05-21,6,1290,add,2
2024-05-21,6,1085,add,1
2024-05-21,6,1085,warning,快要沒車
2024-05-21,7,1294,add,4
2024-05-21,7,1294,warning,快要沒車
2024-05-21,7,1314,add,4
2024-05-21,7,1314,warning,快要沒車
2024-05-21,7,1243,add,1
2024-05-21,7,1725,add,4
2024-05-21,7,1725,warning,快要沒車
2024-05-21,7,1071,add,2
2024-05-21,7,1336,add,4
2024-05-21,7,1336,warning,快要沒車
2024-05-21,7,1665,add,4
2024-05-21,7,1665,warning,快要沒車
2024-05-21,7,1178,add,4
2024-05-21,7,1178,warning,快要沒車
2024-05-21,7,1383,add,4
2024-05-21,7,1383,warning,快要沒車
2024-05-21,7,1335,add,4
2024-05-21,7,1335,warning,快要沒車
2024-05-21,7,1022,add,4
2024-05-21,7,1022,warning,快要沒車
2024-05-21,7,1696,add,4
2024-05-21,7,1696,warning,快要沒車
2024-05-21,7,1009,add,4
2024-05-21,7,1009,warning,快要沒車
2024-05-21,7,1290,add,2
2024-05-21,7,1085,add,1
2024-05-21,7,1085,warning,快要沒車
2024-05-21,8,1294,add,4
2024-05-21,8,1294,warning,快要沒車
2024-05-21,8,1314,add,4
2024-05-21,8,1314,warning,快要沒車
2024-05-21,8,1243,add,1
2024-05-21,8,1725,add,4
2024-05-21,8,1725,warning,快要沒車
2024-05-21,8,1071,add,2
2024-05-21,8,1336,add,4
2024-05-21,8,1336,warning,快要沒車
2024-05-21,8,1665,add,4
2024-05-21,8,1665,warning,快要沒車
2024-05-21,8,1178,add,4
2024-05-21,8,1178,warning,快要沒車
2024-05-21,8,1383,add,4
2024-05-21,8,1383,warning,快要沒車
2024-05-21,8,1335,add,4
2024-05-21,8,1335,warning,快要沒車
2024-05-21,8,1022,add,4
2024-05-21,8,1022,warning,快要沒車
2024-05-21,8,1696,add,4
2024-05-21,8,1696,warning,快要沒車
2024-05-21,8,1009,add,4
2024-05-21,8,1009,warning,快要沒車
2024-05-21,8,1290,add,2
2024-05-21,8,1085,add,1
2024-05-21,8,1085,warning,快要沒車
2024-05-21,9,1294,add,4
2024-05-21,9,1294,warning,快要沒車
2024-05-21,9,1314,add,4
2024-05-21,9,1314,warning,快要沒車
2024-05-21,9,1243,add,1
2024-05-21,9,1725,add,4
2024-05-21,9,1725,warning,快要沒車
2024-05-21,9,1071,add,2
2024-05-21,9,1336,add,4
2024-05-21,9,1336,warning,快要沒車
2024-05-21,9,1665,add,4
2024-05-21,9,1665,warning,快要沒車
2024-05-21,9,1178,add,4
2024-05-21,9,1178,warning,快要沒車
2024-05-21,9,1383,add,4
2024-05-21,9,1383,warning,快要沒車
2024-05-21,9,1335,add,4
2024-05-21,9,1335,warning,快要沒車
2024-05-21,9,1022,add,4
2024-05-21,9,1022,warning,快要沒車
2024-05-21,9,1696,add,4
2024-05-21,9,1696,warning,快要沒車
2024-05-21,9,1009,add,4
2024-05-21,9,1009,warning,快要沒車
2024-05-21,9,1290,add,2
2024-05-21,9,1085,add,1
2024-05-21,9,1085,warning,快要沒車
2024-05-21,10,1294,add,4
2024-05-21,10,1294,warning,快要沒車
2024-05-21,10,1314,add,4
2024-05-21,10,1314,warning,快要沒車
2024-05-21,10,1243,add,1
2024-05-21,10,1725,add,4
2024-05-21,10,1725,warning,快要沒車
2024-05-21,10,1071,add,2
2024-05-21,10,1336,add,4
2024-05-21,10,1336,warning,快要沒車
2024-05-21,10,1665,add,4
2024-05-21,10,1665,warning,快要沒車
2024-05-21,10,1178,add,4
2024-05-21,10,1178,warning,快要沒車
2024-05-21,10,1383,add,4
2024-05-21,10,1383,warning,快要沒車
2024-05-21,10,1335,add,4
2024-05-21,10,1335,warning,快要沒車
2024-05-21,10,1022,add,4
2024-05-21,10,1022,warning,快要沒車
2024-05-21,10,1696,add,4
2024-05-21,10,1696,warning,快要沒車
2024-05-21,10,1009,add,4
2024-05-21,10,1009,warning,快要沒車
2024-05-21,10,1290,add,2
2024-05-21,10,1085,add,1
2024-05-21,10,1085,warning,快要沒車
